"SPETZPC","2012-10-15 14:46:55","Warning","Kigg.Web","GlobalApplication","OnEnd()","Application Ended","n/a","n/a","n/a","n/a","n/a"
"SPETZPC","2012-10-15 14:52:28","Information","Kigg.Repository","LoggingUserRepository","FindByUserName(String userName)","Retrieving user with userName: admin","n/a","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:52:29","Information","Kigg.Repository","LoggingUserRepository","FindByUserName(String userName)","User retrieved with userName: admin","n/a","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:52:29","Information","Kigg.Repository","LoggingUserRepository","FindByUserName(String userName)","Retrieving user with userName: support","n/a","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:52:29","Information","Kigg.Repository","LoggingUserRepository","FindByUserName(String userName)","User retrieved with userName: support","n/a","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:52:29","Information","Kigg.Repository","LoggingUserRepository","FindByUserName(String userName)","Retrieving user with userName: bee","n/a","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:52:29","Information","Kigg.Repository","LoggingUserRepository","FindByUserName(String userName)","User retrieved with userName: bee","n/a","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:52:30","Information","Kigg.Web","GlobalApplication","OnStart()","Application Started","n/a","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:52:36","Information","Kigg.Repository","LoggingStoryRepository","FindPublished(Int32 start, Int32 max)","Retrieving published stories : 0, 20","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:52:37","Information","Kigg.Repository","LoggingStoryRepository","FindPublished(Int32 start, Int32 max)","Published stories retrieved : 0, 20","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:52:40","Information","Kigg.Repository","LoggingCategoryRepository","FindAll()","Retrieving all Category","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:52:40","Information","Kigg.Repository","LoggingCategoryRepository","FindAll()","All category retrieved","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:52:44","Information","Kigg.Repository","LoggingUserRepository","FindTop(DateTime startTimestamp, DateTime endTimestamp, Int32 start, Int32 max)","Retrieving top users : 2009-01-11 00:00:00, 2012-10-15 14:52:44, 0, 20","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:52:44","Information","Kigg.Repository","LoggingUserRepository","FindTop(DateTime startTimestamp, DateTime endTimestamp, Int32 start, Int32 max)","Top users retrieved : 2009-01-11 00:00:00, 2012-10-15 14:52:44, 0, 20","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
